"Nr_Arrest","naam","Trefwoorden"
"1718/0269","Arnout","Geen beperkte ruimtelijke impact"
"1718/0269","Arnout"," Beoordeling goede RO is ander toetsingskader "
"1718/0269","Arnout","Niet afdoende gemotiveerd "
"1718/0269","Arnout","Vingerwijzing indeplaatsstelling ilv prima facie impact windturbine (Navigator)"
"1718/0255","Arnout","Vernietiging (samenhang: 1718/0269)Zonder voorwerp"
"1718/0243","Arnout","VernietigingArtikel 15, 4° Procedurebesluit vereist geen omschrijving belang bij het middel "
"1718/0243","Arnout","Art. 35 DBRC-besluit vereist wel de aanwezigheid ervan (Navigator) "
"1718/0243","Arnout","Nabije ligging in overstromingsgevoelig gebied "
"1718/0243","Arnout","Watertoets en zorgvuldigheid- Art. 4.2.19 VCRO niet aangevoerd "
"1718/0243","Arnout","Onzorgvuldig opleggen onduidelijke voorwaarde (overgenomen adviesverlenende instantie) "
"1718/0243","Arnout","GegrondArt. 4.4.7 VCRO"
"1718/0243","Arnout"," Handeling uit bosbeheerplan betreft bepaling in de zin van artikel 3, §1, 12° Besluit Handelingen Algemeen Belang "
"1718/0243","Arnout","Expliciete aanwijzing niet vereist (Navigator) "
"1718/0243","Arnout","Verwijzing definities artikel 2, §1, 1° en 12°"
"1617/0754","Jona","VernietigingArtikel 4.3.1, §2, eerste lid, 1° VCRO"
"1617/0754","Jona"," Overschrijding woningdichtheid onvoldoende gemotiveerd "
"1617/0754","Jona","Begrip “beleidsmatig gewenste ontwikkelingen” (zeurtcriterium) "
"1617/0754","Jona","Gemeentelijk ruimtelijk structuurplan "
"1617/0754","Jona","Verzwaarde motiveringsplicht "
"1617/0754","Jona","Gezag van gewijsde (o.m. motivering inzake behoud van groen) "
"1617/0754","Jona","Geen planinitiatief "
"1617/0754","Jona","Opmaak RUP waartoe loutere intentie tot opmaak, doet hieraan niet afSchending gezag van gewijsde"
"1718/0355","Heidi","OnontvankelijkArtikel 4.8.11, §1, eerste lid, 3° VCRO "
"1718/0355","Heidi","Derde-belanghebbende "
"1718/0355","Heidi","Woonst op meer dan 1 km. "
"1718/0355","Heidi","Actio popularis erfgoed en GRO"
"1718/0355","Heidi"," hinder&nadelen niet voldoende persoonlijk/concreet"
"1718/0344","Hildegard","Ongegrond (afstand in hoofde 2 partijen)Alleen de eerste, tweede en derde verzoekende partij dienen een verzoek tot voorzetting in "
"1718/0344","Hildegard","Afstand andere verzoekende partijen (Navigator) Artikel 4.8.11, §1, eerste lid 3° VCRO "
"1718/0344","Hildegard","Derde-belanghebbende "
"1718/0344","Hildegard","Mobiliteitsproblemen en wateroverlastGebrek aan bezwaren en vernietigingsberoep RUP "
"1718/0344","Hildegard","Ontneemt belang bij het middel (artikel 159 Gw) niet "
"1718/0344","Hildegard","Klein gebied op lokaal niveau "
"1718/0344","Hildegard","Geen plan-MER vereist (Navigator)Middel voor het eerst in WA "
"1718/0344","Hildegard","Onderzoek of al dan niet oo "
"1718/0344","Hildegard","(Loyauteitsplicht) (Navigator) "
"1718/0344","Hildegard","Loutere kritiek op watertoets raakt de openbare orde niet (Navigator) "
"1718/0344","Hildegard","Kritiek op GRO neemt concrete motivering niet mee "
"1718/0344","Hildegard","Verwijzing RUP VWP en TSK (artikel 4.3.1, §1, 3° VCRO)"
"1718/0344","Hildegard","Middel raakt niet aan de kennelijke onredelijke beoordeling van de GRO (Navigator)"
"1718/0721","Lieselotte","VernietigingArt. 69 en 71 PB "
"1718/0721","Lieselotte","Geen voortzetting "
"1718/0721","Lieselotte","Versnelde rechtspleging"
"1718/0831","Lieselotte","Afstand van geding"
"1617/0666","Jolien","Vernietiging (samenhang 1617/0682)Artikel 4.2.25 VCRO"
"1617/0666","Jolien"," Gemeenteraadsbeslissing zaak der wegen "
"1617/0666","Jolien","(quasi-)openbare bestemming weg "
"1617/0666","Jolien","Riolering, toegang (semi-)publieke ruimte, huisvuilophaling,… "
"1617/0666","Jolien","Geen zorgvuldige motivering (Navigator) "
"1617/0666","Jolien","Eigendomsstructuur niet doorslaggevendArtikel 4.3.5 VCRO "
"1617/0666","Jolien","Voldoende uitgeruste weg "
"1617/0666","Jolien","private dan wel openbare bestemming van de toegangsweg onvoldoende onderzocht"
"1617/0682","Jolien","Onontvankelijk (samenhang 1617/0666)Zonder voorwerp "
"1617/0682","Jolien","Verzoek tot samenvoeging dient niet te worden beoordeeld- Vernietiging in ander dossier"
"1617/0644","Tine","OnontvankelijkArtikel 74, §1 Procedurebesluit "
"1617/0644","Tine","Antwoordnota laattijdig "
"1617/0644","Tine","Overmacht niet aangetoondOntvankelijkheid TSK"
"1617/0644","Tine"," Beschikking betreft prima facie beoordeling"
"1617/0644","Tine"," Artikel 61, §1 Procedurebesluit "
"1617/0644","Tine","Artikel 159 GW "
"1617/0644","Tine","Geen sprake van ongelijke behandeling "
"1617/0644","Tine","Niet vergelijkbare situatie "
"1617/0644","Tine","Doelstelling PB (Navigator) "
"1617/0644","Tine","TSK 2 "
"1617/0644","Tine","Artikel 59/3 PB "
"1617/0644","Tine","Omzeilen procedure (Navigator)Onontvankelijkheidsbeslissing "
"1617/0644","Tine","Voor de Raad aanvechtbare vergunningsbeslissing "
"1617/0644","Tine","Ontvankelijkheid (artikel 4.8.11, §3 VCRO "
"1617/0644","Tine","Geen louter procedureel belang"
"1617/0644","Tine"," Onderzoek valt samen met beoordeling ten gronde "
"1617/0644","Tine","Louter concurrentieel belang"
"1718/0201","Laura","Ongegrond (samenhangend: 1617/0301)Artikel 74, §1 Procedurebesluit "
"1718/0201","Laura","Antwoordnota laattijdig "
"1718/0201","Laura","Overmacht niet aangetoondArtikel 4.8.11, §1, eerste lid, 3° VCRO "
"1718/0201","Laura","Derde-belanghebbende "
"1718/0201","Laura","Geen buitensporige hinder vereistArt. 159 Gw. "
"1718/0201","Laura","Individuele rechtshandeling "
"1718/0201","Laura","Annulatievordering samenhangende zaak verworpen "
"1718/0201","Laura","Exceptie verworpenAangegeven afstanden in plannen en vergunningsvoorwaarde "
"1718/0201","Laura","Realiseerbaarheid in het licht van subjectieve rechten "
"1718/0201","Laura","Toepassing art. 4.2.22 VCRO"
"1617/0483","Lore","OngegrondGRO "
"1617/0483","Lore","Lichtinval en privacyhinder "
"1617/0483","Lore","Geen intern tegenstrijdige motivering"
"1617/0483","Lore"," Isolatienormen vanuit woonkwaliteit niet kennelijk onredelijk meegenomen in de beoordeling "
"1617/0483","Lore","Geen loutere verwijzing naar burgerrechtelijke lichten en zichten "
"1617/0483","Lore","VZP toont kennelijk onredelijke, onzorgvuldige, foutieve of niet-afdoende motivering niet aan"
"1819/0108","Marino","Klaarblijkelijk onontvankelijk Rolrechten niet betaald"
"1819/0046","Chana","Klaarblijkelijk onontvankelijk Rolrechten niet betaald "
"1819/0046","Chana","Laattijdig verzoekschrift"
"1718/0819","Marino","Klaarblijkelijk onontvankelijk Rolrechten niet betaald"
"1718/0607","Chana","Klaarblijkelijk onontvankelijk Rolrechten niet tijdig betaald"
"1819/0223","Ingrid","Schorsing verworpen "
"1819/0223","Ingrid","Klaarblijkelijk onontvankelijkArtikel 56, §1, 2° PB"
"1819/0223","Ingrid"," Geen uiteenzetting hoogdringendheid"
"1718/0182","Michelle","VernietigingVzp heeft geen belang bij middel aangaande onwettige aanplakking daar zij tijdig beroep heeft ingesteld "
"1718/0182","Michelle","Openbaarheid van bestuur "
"1718/0182","Michelle","Kopie vereist geen volledige weergave van alle documentenSchending rooilijn/buurtweg/tegenstrijdigheid vergunningen "
"1718/0182","Michelle","Stelplicht VZP "
"1718/0182","Michelle","Onverzoenbaarheid (en zelfs ligging) niet aangetoondArt. 682 BW"
"1718/0182","Michelle"," artikel 4.2.22, §1 VCRO "
"1718/0182","Michelle","Verleend onder voorbehoud van burgerlijke rechten "
"1718/0182","Michelle","Subjectieve rechtenArtikel 4.3.1, § 2, eerste lid, 1° en 2° VCRO "
"1718/0182","Michelle","Kennelijk onredelijke, onzorgvuldige of onjuiste beoordeling cultuurhistorische inpasbaarheid niet aangetoondArtikel 4.3.5, §1 VCRO "
"1718/0182","Michelle","Voldoende uitgeruste weg "
"1718/0182","Michelle","Afsluiting geen gebouwOnontvankelijke kritiek op beslissing in eerste administratieve aanlegVoorwaarde voldoende precies wat betreft relevante elementenOnzorgvuldigheid watertoets niet aangetoondOnafhankelijkheidsbeginsel niet contra legem toe te passenArtikel 10, §1, 4° DIWB"
"1718/0182","Michelle"," Geen nieuwe bovengrondse constructies mogen worden opgericht binnen 5 meter vanaf bovenste rand van talud van oppervlaktewaterlichaam "
"1718/0182","Michelle","Uitzondering restrictief te interpreteren "
"1718/0182","Michelle","Constructies geen uitstaans functie oeverzone (Navigator)Raad niet bevoegd inzake schending deontologische code VVP (geen decretale grondslag in VCRO)Schending onpartijdigheidsbeginsel niet aangetoond "
"1718/0182","Michelle","Verslaggever louter lid van een lokale politieke partij "
"1718/0182","Michelle","Geen concrete en precieze elementen inzake subjectieve onpartijdigheid"
"1718/0313","Ingrid","Vernietiging Artikel 4.8.11, §1, eerste lid, 3° VCRO "
"1718/0313","Ingrid","Derde-belanghebbende "
"1718/0313","Ingrid","Gehele verzoekschrift "
"1718/0313","Ingrid","Carwash "
"1718/0313","Ingrid","Nabuur"
"1718/0313","Ingrid"," Hinderaspecten (e.g. geluid) "
"1718/0313","Ingrid","RUP is niet uitputtendArtikel 4.3.1, §1, eerste lid, 1°, a) VCRO "
"1718/0313","Ingrid","Conformiteit met het RUP "
"1718/0313","Ingrid","Vereiste van informatieve inrichtingsnota "
"1718/0313","Ingrid","Geen zorgvuldige beoordeling in licht RUPArtikel 4.2.19 VCRO "
"1718/0313","Ingrid","Ligging infiltratiegracht "
"1718/0313","Ingrid","Onvoldoende precies "
"1718/0313","Ingrid","Louter “achter de bouwlijn” "
"1718/0313","Ingrid","Reeds verhardingen/groenbuffer aanwezig"
"1819/0205","Hildegard","Schorsing verworpenSloop + bouw appartementsblokken"
"1819/0205","Hildegard"," Hoogdringendheid "
"1819/0205","Hildegard","Geen onredelijke bewijslast "
"1819/0205","Hildegard","Visuele hinder en privacy "
"1819/0205","Hildegard","Milderende maatregelen niet betrokken"
"1819/0205","Hildegard"," Nadelen onvoldoende concreet"
"1516/0791","Arnout","OngegrondArtikel 4.3.1, §1, eerste lid, 1°, a) VCRO "
"1516/0791","Arnout","Harmonieregel"
"1516/0791","Arnout"," Artikel 4.3.1, §2, eerste lid, 3° VCRO "
"1516/0791","Arnout","Gedetailleerde voorschriften "
"1516/0791","Arnout","In essentie directe omgeving niet afdoende betrokken "
"1516/0791","Arnout","Kennelijke onredelijkheid, onzorgvuldigheid, onjuistheid niet aangetoond Artikelen 10 en 11 Besluit Dossiersamenstelling "
"1516/0791","Arnout","Ontbrekende stukken "
"1516/0791","Arnout","Onderscheiden actoren kunnen beslissen/adviseren/opmerkingen maken "
"1516/0791","Arnout","Kennis van zaken gevrijwaard "
"1516/0791","Arnout","Bijzondere procedure "
"1516/0791","Arnout","Geen belang bij het middelBeoordeling GRO"
"1516/0791","Arnout"," Inpasbaarheid omgeving en waterhuishouding"
"1516/0791","Arnout"," Kennelijke onredelijkheid, onzorgvuldigheid, onjuistheid, gebrekkige motivering niet aangetoondMer-screening "
"1516/0791","Arnout","Screeningsparagraaf "
"1516/0791","Arnout","Toetsing criteria bijlage II"
"1516/0791","Arnout"," Kennelijke onredelijkheid, onzorgvuldigheid, onjuistheid, gebrekkige motivering niet aangetoond (Navigator)Hoorplicht niet geschonden "
"1516/0791","Arnout","Bijzondere procedure "
"1516/0791","Arnout","Geen herstelbeslissing "
"1516/0791","Arnout","Arrest GwH irrelevant (Navigator)Schending gRUP "
"1516/0791","Arnout","Inrichtingsplan aanwezig (impliciet: mist feitelijke grondslag)"
"1718/0704","Sacha","Afstand (versnelde rechtspleging)Artikel 69, eerste lid PB "
"1718/0704","Sacha","Geen voortzetting"
"1617/0188","Hildegard","VernietigingArtikel 4.8.11, §1, eerste lid, 3° VCRO "
"1617/0188","Hildegard","Derde-belanghebbende Gehele verzoekschrift "
"1617/0188","Hildegard","WateroverlastTegenstrijdige motivering "
"1617/0188","Hildegard","Reliëfwijziging uit de vergunning gesloten die door de vergunning ondersteund wordtSchending artikelen 10 en 11 Besluit dossiersamenstelling "
"1617/0188","Hildegard","Terreinaanlegwerken "
"1617/0188","Hildegard","Regularisatie"
"1617/0188","Hildegard"," Terreinprofiel, tekening afsluiting, bestaande toestand, hoogtematen…"
"1617/0188","Hildegard"," Onoverkomelijke legaliteitsbelemmeringIndeplaatsstelling"
"1718/0351","Lore","Afstand van geding"
"1819/0001","Sacha","Vernietiging (versnelde rechtspleging)Artikel 69, eerste lid PB "
"1819/0001","Sacha","Geen voortzetting"
"1718/0262","Sacha","VernietigingArtikel 15, 4° PB "
"1718/0262","Sacha","Middel afdoende duidelijk "
"1718/0262","Sacha","Gewestplan (esthetisch) en GRO (culureel) "
"1718/0262","Sacha","verzwaarde motiveringsplicht "
"1718/0262","Sacha","Geen bijkomende termijn VWP om te antwoorden op wettigheidskritiek "
"1718/0262","Sacha","Beperking tot ontvankelijkheid betreft eigen keuze "
"1718/0262","Sacha","TSK partij repliceerde "
"1718/0262","Sacha","Geen schending rechten van verdediging (Navigator)Artikel 15.4.6.1 Inrichtingsbesluit "
"1718/0262","Sacha","Verzwaarde motiveringsplicht "
"1718/0262","Sacha","Beroepsgrieven"
"1718/0262","Sacha"," Esthetische toets niet afdoende "
"1718/0262","Sacha","Niet afdoende gemotiveerd "
"1718/0262","Sacha","Geen onderzoek naar de landschapswaarden (Navigator) "
"1718/0262","Sacha","In concreto toets groenscherm (Navigator)Sloop hoeve "
"1718/0262","Sacha","IBE "
"1718/0262","Sacha","Geen concreet onderzoek bouwfysische toestand en omvorming hedendaags comfort en normen (Navigator)"
"1718/0321","Patrick","Ongegrond (samenhang: 1718/0322 en 1718/0323)Artikel 4.8.11, §1, eerste lid, 3° VCRO "
"1718/0321","Patrick","Derde-belanghebbende "
"1718/0321","Patrick","Potentiële hinder door waterhuishouding "
"1718/0321","Patrick","Aard regularisatievergunning (Navigator)Feitelijke wateroverlast niet aangetoond "
"1718/0321","Patrick","Beoordeling GRO "
"1718/0321","Patrick","Kennelijke onredelijkheid, onjuiste of onzorgvuldige beoordeling niet aannemelijk gemaaktArtikel 159 GW. t.a.v. verkavelingsvergunningen"
"1718/0321","Patrick"," Verkavelingsvergunning bevat reglementaire voorschriften "
"1718/0321","Patrick","Artikel 8 DIWB "
"1718/0321","Patrick","Onzorgvuldigheid watertoets niet aangetoond "
"1718/0321","Patrick","Compenserende maatregelen ten tijde verkavelingsvergunning niet bepaalbaar "
"1718/0321","Patrick","Volgt niet uit verkavelingsvergunning (Navigator) "
"1718/0321","Patrick","Geen schadelijk effect "
"1718/0321","Patrick","Beoordelingsschema’s niet van toepassing (Navigator)"
"1718/0321","Patrick"," artikel 4.3.1., §2 VCRO "
"1718/0321","Patrick","Kennelijke onredelijkheid bouwdichtheid en mobiliteit niet aangetoond "
"1718/0321","Patrick","VZP toont niet aan dat essentiële aspecten niet behandeld zijn in VKV "
"1718/0321","Patrick","Geen schending zorgvuldigheidsplicht (Navigator)"
"1718/0322","Patrick","Ongegrond (samenhang: 1718/0321 en 1718/0323)Artikel 4.8.11, §1, eerste lid, 3° VCRO "
"1718/0322","Patrick","Derde-belanghebbende "
"1718/0322","Patrick","Potentiële hinder door waterhuishouding "
"1718/0322","Patrick","Aard regularisatievergunning (Navigator)Feitelijke wateroverlast niet aangetoond "
"1718/0322","Patrick","Beoordeling GRO "
"1718/0322","Patrick","Kennelijke onredelijkheid, onjuiste of onzorgvuldige beoordeling niet aannemelijk gemaaktArtikel 159 GW. t.a.v. verkavelingsvergunningen"
"1718/0322","Patrick"," Verkavelingsvergunning bevat reglementaire voorschriften "
"1718/0322","Patrick","Artikel 8 DIWB "
"1718/0322","Patrick","Onzorgvuldigheid watertoets niet aangetoond "
"1718/0322","Patrick","Compenserende maatregelen ten tijde verkavelingsvergunning niet bepaalbaar "
"1718/0322","Patrick","Volgt niet uit verkavelingsvergunning (Navigator) "
"1718/0322","Patrick","Geen schadelijk effect "
"1718/0322","Patrick","Beoordelingsschema’s niet van toepassing (Navigator)"
"1718/0322","Patrick"," artikel 4.3.1., §2 VCRO "
"1718/0322","Patrick","Kennelijke onredelijkheid bouwdichtheid en mobiliteit niet aangetoond "
"1718/0322","Patrick","VZP toont niet aan dat essentiële aspecten niet behandeld zijn in VKV "
"1718/0322","Patrick","Geen schending zorgvuldigheidsplicht (Navigator)"
"1718/0323","Patrick","Ongegrond (samenhang: 1718/0321 en 1718/0322)Artikel 4.8.11, §1, eerste lid, 3° VCRO "
"1718/0323","Patrick","Derde-belanghebbende "
"1718/0323","Patrick","Potentiële hinder door waterhuishouding "
"1718/0323","Patrick","Aard regularisatievergunning (Navigator)Feitelijke wateroverlast niet aangetoond "
"1718/0323","Patrick","Beoordeling GRO "
"1718/0323","Patrick","Kennelijke onredelijkheid, onjuiste of onzorgvuldige beoordeling niet aannemelijk gemaaktArtikel 159 GW. t.a.v. verkavelingsvergunningen"
"1718/0323","Patrick"," Verkavelingsvergunning bevat reglementaire voorschriften "
"1718/0323","Patrick","Artikel 8 DIWB "
"1718/0323","Patrick","Onzorgvuldigheid watertoets niet aangetoond "
"1718/0323","Patrick","Compenserende maatregelen ten tijde verkavelingsvergunning niet bepaalbaar "
"1718/0323","Patrick","Volgt niet uit verkavelingsvergunning (Navigator) "
"1718/0323","Patrick","Geen schadelijk effect "
"1718/0323","Patrick","Beoordelingsschema’s niet van toepassing (Navigator)"
"1718/0323","Patrick"," artikel 4.3.1., §2 VCRO "
"1718/0323","Patrick","Kennelijke onredelijkheid bouwdichtheid en mobiliteit niet aangetoond "
"1718/0323","Patrick","VZP toont niet aan dat essentiële aspecten niet behandeld zijn in VKV "
"1718/0323","Patrick","Geen schending zorgvuldigheidsplicht (Navigator)"
"1718/0333","Lore","Afstand van geding"
"1617/0700","Laura","OngegrondArtikel 4.7.19, §2 VCRO "
"1617/0700","Laura","Attest van aanplakking "
"1617/0700","Laura","Bewijslast VZP"
"1617/0700","Laura"," Verklaring op eer en eerder doorgestuurde mail met foto "
"1617/0700","Laura","VZP brengt geen elementen bij die twijfel kunnen doen rijzen met betrekking tot onafgebroken aanplakking en zichtbaarheid van de doorgevoerde aanplakking "
"1617/0700","Laura","Vereiste locatie(s) van aanplakking "
"1617/0700","Laura","Lezing zichtbaarheid ikv finaliteit aanplakking en zorgvuldigheidsplicht "
"1617/0700","Laura","Geen oo "
"1617/0700","Laura","Diligentie VZP "
"1617/0700","Laura","aanplakking op meerdere plaatsenRPV toegekend"
"1718/0186","Katrien","OngegrondTelecomcode als gentlemen’s agreement"
"1718/0186","Katrien"," Site-sharing "
"1718/0186","Katrien","Geen verplichting voor de vergunningverlenende overheid "
"1718/0186","Katrien"," Slechts een inspanningsverbintenis en geen resultaatsverbintenis –Beoordeling inplantingsplaats niet onredelijk of onjuist (Navigator)Artikel 4.4.7, §2 VCRO"
"1718/0186","Katrien"," Artikel 3, §1, 4° Besluit Handelingen Algemeen Belang "
"1718/0186","Katrien","Telecommunicatiestation"
"1718/0186","Katrien"," GSM-mast is handeling van algemeen belang "
"1718/0186","Katrien","Afwijkingen moeten worden gemotiveerd "
"1718/0186","Katrien","Afdoende gemotiveerdArtikel 4.3.1 VCRO en Vlarem II "
"1718/0186","Katrien","Beoordeling goede RO "
"1718/0186","Katrien","GSM-mast "
"1718/0186","Katrien","Gezondheidsaspect "
"1718/0186","Katrien","Verwijzing naar conformiteitsattest volstaat als een afdoende motiveringGeen schending gezag van gewijsde "
"1718/0186","Katrien","Conformiteitsattest aanwezigArtikel 4.7.26, §4 VCRO"
"1718/0186","Katrien"," Artikel 3, §3, 8° Besluit Openbaar Onderzoek "
"1718/0186","Katrien"," Organisatie openbaar onderzoek "
"1718/0186","Katrien","Vzp toont niet aan dat er essentiële wijzigingen of aanvullingen v/d aanvraag hebben plaatsgevonden (onvoldoende geconcretiseerd) (Navigator) "
"1718/0186","Katrien","Geen verplicht stuk in de dossiersamenstelling (Navigator) "
"1718/0186","Katrien","CBS heeft advies niet aangepast"
"1718/0767","Sacha","Vernietiging (versnelde rechtspleging)Artikel 69, eerste lid PB "
"1718/0767","Sacha","Geen voortzettingRPV"
"1718/0234","Tariq","VernietigingArtikel 4.3.1, §1 en §2 VCRO "
"1718/0234","Tariq","Onjuist uitgangspunt parkeercapaciteit "
"1718/0234","Tariq","Inpasbaarheid en hinderaspecten "
"1718/0234","Tariq","Kennelijke onredelijkheid, onzorgvuldigheid, onjuistheid niet aangetoond RPV toegekend"
"1819/0234","Lieselotte","Afstand van geding"
"1617/0239","Ingrid","Vernietiging Middel in WA "
"1617/0239","Ingrid","Openbare Orde "
"1617/0239","Ingrid","LN en LSU niet benut (Navigator) Bevoegdheid VWP "
"1617/0239","Ingrid","Conformiteit bouwreglement (vergunningsplicht) met artikel 4.2.5 VCRO en Vrijstellingenbesluit "
"1617/0239","Ingrid","Strijdigheid niet aangetoond "
"1617/0239","Ingrid","Toepassing artikel 4.2.6 VCRO (Navigator)Artikel 40, tweede lid Gw. "
"1617/0239","Ingrid","Medewerkingsplicht"
"1617/0239","Ingrid"," Geen stedenbouwkundige motieven (legaliteit) waarmee rechter geen rekening heeft kunnen houden of die gestoeld zijn op waarden die dermate belangrijk zijn, dat ze zwaarder moeten doorwegen dan de tenuitvoerlegging van een rechterlijke uitspraak (Navigator)"
"1415/0466","Jona","Afstand"
"1617/0755","Tine","Samenhangend met 1718/0237VernietigingStilzwijgende beslissing na intrekking "
"1617/0755","Tine","Exceptie mbt belang verworpen "
"1617/0755","Tine","Eventuele vernietiging impliceert bevoegdheid om zich opnieuw over administratief beroep uit te spreken (navigator)Stilzwijgende beslissing "
"1617/0755","Tine","Schending motiveringsplicht "
"1617/0755","Tine","Beroepsargumenten en ongunstig PSA-verslag niet ontmoet 700 euro RPV toegekend"
"1718/0237","Tine","Samenhangend met 1617/0755VernietigingNieuwe stukken op/na zitting "
"1718/0237","Tine","Uit debatten geweerd "
"1718/0237","Tine","Tussenkomende partij diende stukken bij haar SU te voegenBetwisting belang "
"1718/0237","Tine","Verwijzing naar beoordeling in vorig vernietigingsarrest "
"1718/0237","Tine","Geen reden om anders te oordelen (navigator)Voorwaarden inzake brandweeradvies en infiltratie "
"1718/0237","Tine","Belang bij het middel (navigator) "
"1718/0237","Tine","Planaanpassingen "
"1718/0237","Tine","Voorwaarde inzake draaicirkel "
"1718/0237","Tine","Vereist desgevallend gemeenteraadsbeslissing inzake wegenis "
"1718/0237","Tine","Geen belang bij middelonderdeel inzake technisch detail (navigator) "
"1718/0237","Tine","Suggestie in advies dienst Waterloop <U+2260> voorwaarde in de zin van artikel 4.2.19 VCRO (navigator)700 euro RPV toegekend"
"1819/0300","Jolien","Schorsing bevolenVoorbehoud van tussenkomende partij is geen afdoende duidelijke exceptie (navigator) "
"1819/0300","Jolien","Ambtshalve onderzoek ontvankelijkheid "
"1819/0300","Jolien","Hinder en nadelen aanvaard in hoofde van eerste t.e.m. vierde verzoekende partij "
"1819/0300","Jolien","WZC "
"1819/0300","Jolien","Uitputtingsvereiste "
"1819/0300","Jolien","Belang vijfde verzoekende partij nog niet beoordeeld (navigator)Hoogdringendheid aangetoond "
"1819/0300","Jolien","Tijdelijke hinder kan hoogdringendheid niet staven "
"1819/0300","Jolien","Tolerantie vereist voor werken kaderend in het algemeen belang (navigator) "
"1819/0300","Jolien","Woon- en leefgenot aangetast "
"1819/0300","Jolien","Afdoende rechtstreeks oorzakelijk verband "
"1819/0300","Jolien","Nadelen vloeien niet louter voort uit gewestplanbestemming (navigator) "
"1819/0300","Jolien","Vernietigingsprocedure ondoelmatig "
"1819/0300","Jolien","Voorbereidende werkzaamheden aangevat "
"1819/0300","Jolien","Werken kunnen voltooid zijn binnen 12 maanden "
"1819/0300","Jolien","Gefaseerd project met rooien van bomen (navigator)Beoordeling goede RO "
"1819/0300","Jolien","Schaal "
"1819/0300","Jolien","Geen afdoende motivering en geen toets aan omgeving "
"1819/0300","Jolien","Parkeerproblematiek "
"1819/0300","Jolien","Bezwaren niet afdoende beantwoord"
"1516/0516","Jona","VernietigingVoorwerp van de vordering "
"1516/0516","Jona","Gunstig advies ANB "
"1516/0516","Jona","Geen strijdigheid met direct bindende normen vastgesteld "
"1516/0516","Jona","Geen rechtstreeks aanvechtbare rechtshandeling (navigator)Herbeoordeling na cassatie (navigator) "
"1516/0516","Jona","Principieel verbod op wijzigen duinvegetaties "
"1516/0516","Jona","Afwijking mogelijk mits advies ANB "
"1516/0516","Jona","Advies ANB heeft geen betrekking op wijziging duinvegetatie "
"1516/0516","Jona","Aanvullend advies ANB dat dateert van nà bestreden beslissing "
"1516/0516","Jona","Doet geen afbreuk aan vastgestelde onwettigheid (navigator) Injunctie toegevoegd met TC"
"1718/0310","Annelore","VernietigingWeigering registratiebeslissing "
"1718/0310","Annelore","Weigering niet deugdelijk gemotiveerd "
"1718/0310","Annelore","Artikel 4.2.14, §4 VCRO (verbod om terug te komen op in kracht van gewijsde rechterlijke beslissingen) niet naar analogie van toepassing op weigeringsbeslissing vergunningverlenend bestuursorgaan (navigator) RPV gevraagd maar niet begroot "
"1718/0310","Annelore","700 euro toegekend"
"1718/0317","Thibault","VernietigingBelang omwonende "
"1718/0317","Thibault","Geen attest van woonst vereist (navigator) "
"1718/0317","Thibault","Inrichting horecagebouw "
"1718/0317","Thibault","Hinder en nadelenMobiliteitsimpact onderzocht "
"1718/0317","Thibault","Bezwaar beantwoord "
"1718/0317","Thibault","Geen loutere overname advies CBS "
"1718/0317","Thibault","Afdoende eigen onderzoek "
"1718/0317","Thibault","Ondeugdelijkheid niet aangetoond Middel deels onontvankelijk want onduidelijk "
"1718/0317","Thibault","Motieven niet afdoende betrokken in kritiek ‘Aandachtspunten’ ANB <U+2260> voorwaarde in de zin van artikel 4.2.19 VCRO (navigator) "
"1718/0317","Thibault","Niet afhankelijk van bijkomende beoordeling Conciërgewoning in recreatiegebied toelaatbaar "
"1718/0317","Thibault","Is ondergeschikt en staat in functie van horecavoorziening (navigator)Verordening Toegankelijkheid "
"1718/0317","Thibault","Geen belang bij het middel aangetoond "
"1718/0317","Thibault","Geen afwijking aangetoondNatuurtoets en passende beoordeling "
"1718/0317","Thibault","Belang bij het middel omwonende (navigator) "
"1718/0317","Thibault","Middel deels onontvankelijk want onduidelijk "
"1718/0317","Thibault","Voorwaardelijk advies ANB "
"1718/0317","Thibault","Vermijdbare schade aangetoond "
"1718/0317","Thibault","Niet afdoende onderzochtHandeling van algemeen belang "
"1718/0317","Thibault","Middel mist juridische grondslagStructuurplan is geen beoordelingsgrondGebrek aan mobiliteitsstudie "
"1718/0317","Thibault","Oppervlaktenorm Besluit Dossiersamenstelling niet overschreden "
"1718/0317","Thibault","Enkel vloeroppervlakte van ‘gebouwen’ is relevant, en dus niet  oppervlakte speelbos,… (navigator) "
"1718/0317","Thibault","Mobiliteitsimpact onderzocht840 euro RPV toegekend (navigator)"
"1718/0332","Jens","VernietigingWoonproject "
"1718/0332","Jens","Belang eigenaars naburige percelen aanvaard "
"1718/0332","Jens","Verminderde ontwikkelingsmogelijkheden (navigator)Gebrek aan gemeenteraadsbeslissing "
"1718/0332","Jens","Wijziging afwatering "
"1718/0332","Jens","Verzoekende partijen tonen niet aan dat er sprake is van aanleg van wegenis Middel deels onontvankelijk want niet afdoende uiteengezet "
"1718/0332","Jens","Beoordeling goede RO "
"1718/0332","Jens"," Draagkracht en inkijk "
"1718/0332","Jens","Ongunstig PSA-verslag niet afdoende weerlegdMiddel deels onontvankelijk want niet afdoende uiteengezet "
"1718/0332","Jens","Ligging grens woongebied "
